team,player,college
ORL,jonathan-isaac,Florida State
MIN,lauri-markkanen,Arizona
NYK,frank-ntilikina,
DAL,dennis-smith-jr.,NC State
SAC,zach-collins,Gonzaga
CHO,malik-monk,Kentucky
DET,luke-kennard,Duke
DEN,donovan-mitchell,Louisville
MIA,bam-adebayo,Kentucky
POR,justin-jackson,UNC
CHI,justin-patton,Creighton
MIL,d.j.-wilson,Michigan
IND,t.j.-leaf,UCLA
ATL,john-collins,Wake Forest
POR,harry-giles,Duke
OKC,terrance-ferguson,
BRK,jarrett-allen,Texas
TOR,og-anunoby,Indiana
UTA,tyler-lydon,Syracuse
ORL,anzejs-pasecniks,
POR,caleb-swanigan,Purdue
BRK,kyle-kuzma,Utah
LAL,tony-bradley,UNC
SAS,derrick-white,Colorado
UTA,josh-hart,Villanova
CHO,frank-jackson,Duke
PHO,davon-reed,Miami (FL)
ORL,wesley-iwundu,Kansas State
SAC,frank-mason-iii,Kansas
ORL,ivan-rabb,California
PHI,jonah-bolden,
